t	U*(t) n=10	U*(t) n=11	U*(t) n=12	U*(t) n=13	U*(t) n=14	U*(t) n=15	U*(t) n=16	
0	0	0	0	0	0	0	0
2	0.758286	0.758286	0.758286	0.758286	0.758286	0.758286	0.758286
4	0.941574	0.941574	0.941574	0.941574	0.941574	0.941574	0.941574
6	0.985878	0.985878	0.985878	0.985878	0.985878	0.985878	0.985878
8	0.996586	0.996586	0.996586	0.996586	0.996586	0.996586	0.996586
10	0.999175	0.999175	0.999175	0.999175	0.999175	0.999175	0.999175
12	0.999801	0.999801	0.999801	0.999801	0.999801	0.999801	0.999801
14	0.999952	0.999952	0.999952	0.999952	0.999952	0.999952	0.999952
16	0.999988	0.999988	0.999988	0.999988	0.999988	0.999988	0.999988
18	0.999997	0.999997	0.999997	0.999997	0.999997	0.999997	0.999997
20	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.999999
22	1	1	1	1	1	1	1
24	1	1	1	1	1	1	1
